-1.960000	0.812619
-1.920000	0.631875
-1.880000	0.464173
-1.840000	0.315453
-1.800000	0.190983
-1.760000	0.095173
-1.720000	0.031417
-1.680000	0.001973
-1.640000	0.007885
-1.600000	0.048943
-1.560000	0.123693
-1.520000	0.229487
-1.480000	0.362576
-1.440000	0.518246
-1.400000	0.690983
-1.360000	0.874667
-1.320000	1.062791
-1.280000	1.248690
-1.240000	1.425779
-1.200000	1.587785
-1.160000	1.728969
-1.120000	1.844328
-1.080000	1.929776
-1.040000	1.982287
-1.000000	2.000000
-0.960000	1.982287
-0.920000	1.929776
-0.880000	1.844328
-0.840000	1.728969
-0.800000	1.587785
-0.760000	1.425779
-0.720000	1.248690
-0.680000	1.062791
-0.640000	0.874667
-0.600000	0.690983
-0.560000	0.518246
-0.520000	0.362576
-0.480000	0.229487
-0.440000	0.123693
-0.400000	0.048943
-0.360000	0.007885
-0.320000	0.001973
-0.280000	0.031417
-0.240000	0.095173
-0.200000	0.190983
-0.160000	0.315453
-0.120000	0.464173
-0.080000	0.631875
-0.040000	0.812619
0.000000	1.000000
0.040000	1.187381
0.080000	1.368125
0.120000	1.535827
0.160000	1.684547
0.200000	1.809017
0.240000	1.904827
0.280000	1.968583
0.320000	1.998027
0.360000	1.992115
0.400000	1.951057
0.440000	1.876307
0.480000	1.770513
0.520000	1.637424
0.560000	1.481754
0.600000	1.309017
0.640000	1.125333
0.680000	0.937209
0.720000	0.751310
0.760000	0.574221
0.800000	0.412215
0.840000	0.271031
0.880000	0.155672
0.920000	0.070224
0.960000	0.017713
1.000000	0.000000
1.040000	0.017713
1.080000	0.070224
1.120000	0.155672
1.160000	0.271031
1.200000	0.412215
1.240000	0.574221
1.280000	0.751310
1.320000	0.937209
1.360000	1.125333
1.400000	1.309017
1.440000	1.481754
1.480000	1.637424
1.520000	1.770513
1.560000	1.876307
1.600000	1.951057
1.640000	1.992115
1.680000	1.998027
1.720000	1.968583
1.760000	1.904827
1.800000	1.809017
1.840000	1.684547
1.880000	1.535827
1.920000	1.368125
1.960000	1.187381
2.000000	1.000000
